organism       PF01521.22     PF05093.15     PF01458.19     PF02657.17     PF04384.15     PF06155.14     PF16803.7      PF13232.8      PF13233.8      PF01592.18     PF01883.21     PF01491.18     PF01106.19     PF03473.19     PF08712.13     PF05347.17     PF07743.15     PF09918.11     PF11982.10     PF12447.10     PF19295.1      PF00012.22     PF00266.21     PF00005.29     
UP000316850    2/3            0/0            0/0            1/1            0/0            0/1            0/0            0/0            0/0            1/1            1/1            0/1            0/1            0/1            0/0            0/1            1/2            0/0            0/0            0/0            0/0            2/5            3/19           3/78           
UP000017700    3/4            0/0            2/2            2/2            1/1            0/0            0/0            0/0            0/0            2/2            1/1            0/1            1/2            0/1            0/1            0/0            1/1            0/0            0/0            0/0            2/2            2/6            4/27           18/168         
UP000001929    4/4            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/2            0/0            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/5            3/18           10/148         
UP000030528    1/3            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/1            1/1            2/2            0/0            0/1            0/0            0/2            0/0            0/0            0/0            0/0            0/0            2/2            1/5            5/23           9/110          
UP000242592    0/0            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/1            0/0            0/0            0/1            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/3            1/10           5/70           
UP000187101    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/1            0/2            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/5            3/15           4/66           
UP000018100    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/2            1/9            4/69           
UP000051880    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/5            4/14           4/56           
UP000053791    2/2            0/0            2/3            1/1            0/0            0/1            0/1            0/0            0/0            0/1            3/5            0/1            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            4/26           11/107         
UP000199602    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/2            0/0            0/2            0/0            0/0            0/0            0/3            0/0            0/0            0/0            1/1            1/4            0/10           9/72           
UP000234328    2/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            2/2            2/4            0/0            0/0            0/2            0/0            0/1            0/0            0/0            0/0            0/1            2/2            1/3            3/19           19/154         
UP000464314    0/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/4            5/19           9/177          
UP000483018    0/0            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            1/2            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            4/8            4/24           10/117         
UP000003380    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/3            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/5            3/26           7/91           
UP000193387    1/1            0/0            2/2            0/1            0/0            0/0            0/2            0/0            0/0            1/1            2/5            0/0            0/3            0/3            0/0            0/1            0/1            0/0            0/0            0/0            1/1            2/5            5/18           7/80           
UP000001258    1/4            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            2/2            3/4            0/0            0/1            0/1            0/1            0/1            0/0            0/0            0/1            0/1            2/2            1/5            5/30           15/133         
UP000245086    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/3            2/15           2/64           
UP000215134    3/4            0/0            2/2            2/3            1/1            0/0            0/1            0/0            0/0            1/1            1/2            0/1            0/1            0/2            0/1            0/0            1/1            0/0            0/0            0/1            2/3            2/7            4/21           15/153         
UP000223759    2/2            0/0            0/0            0/1            1/1            0/1            0/1            0/0            0/1            0/1            1/2            0/1            0/1            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            2/4            2/13           7/57           
UP000460558    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/2            0/6            
UP000018117    0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/1            3/4            1/46           
UP000317863    0/2            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/1            0/0            0/1            0/0            0/0            0/1            0/0            2/3            4/16           10/101         
UP000016487    2/3            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/1            1/1            0/0            0/2            0/1            0/0            0/0            0/1            1/3            0/0            0/1            0/0            0/0            2/5            5/24           3/99           
UP000289784    2/4            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/0            0/1            0/0            0/0            0/0            2/2            2/4            2/15           3/74           
UP000015523    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/1            0/1            0/1            0/0            0/1            0/0            0/0            0/0            1/1            1/2            7/20           5/61           
UP000269935    1/1            0/0            2/2            0/0            0/1            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/2            0/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/5            6/33           13/171         
UP000268280    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            0/1            0/1            0/1            0/1            0/0            0/0            1/1            0/0            0/0            0/0            0/0            3/6            3/17           5/64           
UP000092291    1/1            0/0            2/2            0/1            0/0            0/0            0/1            0/0            0/0            1/1            2/2            0/0            0/0            0/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/4            4/13           7/68           
UP000194003    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/2            1/2            0/0            0/1            0/0            0/0            0/0            1/6            0/0            0/0            0/1            0/0            2/4            3/13           1/71           
UP000219565    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/6            0/0            0/1            0/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/9            6/27           14/146         
UP000254869    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/5            0/0            0/1            0/3            0/0            0/0            0/3            0/0            0/1            0/1            1/1            1/10           7/34           11/153         
UP000051826    2/3            0/0            0/1            0/0            1/1            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/0            0/2            0/0            0/0            1/1            0/0            0/1            0/1            0/0            4/9            1/34           20/195         
UP000000238    2/3            0/0            2/2            1/1            0/0            0/1            0/1            0/0            0/0            0/1            2/3            0/0            0/1            0/2            0/0            0/0            0/1            0/1            0/0            0/2            2/2            2/9            3/19           16/152         
UP000003571    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/1            0/0            0/0            0/0            0/3            0/0            0/0            0/0            1/1            1/3            4/14           3/74           
UP000257067    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            0/1            0/0            1/5            2/11           1/38           
UP000276058    2/2            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/3            0/1            0/0            0/2            0/0            0/0            1/1            0/0            0/0            0/1            0/0            3/5            2/20           19/176         
UP000029914    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/1            0/1            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/2            2/10           6/74           
UP000304864    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            1/3            1/13           3/64           
UP000317862    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/0            0/4            0/0            0/0            0/2            0/0            0/0            0/1            1/1            3/6            7/33           26/261         
UP000003981    1/6            0/0            2/2            0/0            0/0            0/0            0/2            0/0            0/0            1/1            2/2            0/0            0/1            0/1            0/1            0/0            0/0            0/1            0/0            0/0            2/2            1/4            5/21           15/151         
UP000195962    0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            3/6            3/18           11/181         
UP000464548    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            2/2            1/3            4/10           3/65           
UP000051296    0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/3            0/2            5/69           
UP000192660    2/2            0/0            3/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/1            0/1            0/0            0/0            0/0            0/1            0/0            0/0            3/3            1/4            4/22           5/84           
UP000325427    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/3            0/0            0/1            0/0            0/1            0/1            0/1            0/0            0/0            0/0            1/1            1/2            3/14           2/58           
UP000463883    0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/1            0/0            0/0            0/0            1/4            3/15           1/103          
UP000270929    0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/1            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            2/3            3/10           4/102          
UP000091934    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/1            0/3            0/0            0/0            0/2            0/0            0/0            0/1            1/1            1/5            4/15           5/73           
UP000002703    3/3            0/0            2/2            1/1            0/1            0/0            0/0            0/0            0/1            0/2            2/3            0/0            0/2            0/2            0/1            0/0            0/0            0/0            0/0            0/2            2/2            1/4            4/20           26/153         
UP000001424    2/2            0/0            0/0            0/0            1/1            0/0            0/1            0/0            0/0            1/2            1/1            0/1            0/0            0/2            0/0            0/0            1/2            0/0            0/0            0/1            0/0            4/5            1/21           7/101          
UP000236752    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/1            0/0            0/0            2/3            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/5            2/16           12/119         
UP000236742    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            3/4            0/0            0/1            0/1            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/2            4/22           14/102         
UP000019362    4/5            0/0            0/0            0/0            0/0            0/1            0/1            0/0            0/0            2/2            2/2            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            3/5            2/7            3/80           
UP000306069    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/0            1/2            0/0            0/0            0/0            0/4            0/0            0/0            0/0            0/0            1/2            2/15           2/55           
UP000018005    0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            1/2            0/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/3            3/13           3/79           
UP000018094    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            1/7            3/53           
UP000095113    2/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/1            0/2            0/2            0/1            0/1            0/0            1/1            0/0            0/0            0/0            0/0            2/4            3/20           1/82           
UP000325630    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/3            0/0            0/1            0/0            0/3            0/0            0/0            0/0            2/2            1/4            2/18           5/66           
UP000243750    2/3            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/0            2/3            0/1            0/2            0/1            0/0            0/0            0/2            0/1            0/0            0/0            2/3            3/6            2/13           11/107         
UP000016652    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/1            0/0            1/2            0/2            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/2            3/12           9/93           
UP000232157    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/3            0/0            0/1            0/4            0/0            0/0            0/0            0/0            0/0            0/1            1/1            4/5            6/32           25/224         
UP000283361    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            2/2            1/3            1/12           2/68           
UP000254925    2/2            0/0            2/2            1/1            0/0            0/1            0/1            0/0            0/0            0/2            2/2            0/1            0/2            0/2            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/4            4/21           28/191         
UP000198500    2/3            0/0            2/2            1/1            0/0            0/2            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/1            0/1            0/3            0/0            0/3            0/0            2/2            1/3            3/19           9/109          
UP000216795    1/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            1/3            0/0            0/0            0/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            3/4            3/19           13/163         
UP000472955    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/0            0/2            0/0            0/0            0/3            0/1            0/0            0/0            1/1            1/4            5/27           12/167         
UP000289243    2/5            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            0/2            0/0            0/1            0/1            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/4            4/24           16/240         
UP000018196    0/0            0/0            2/2            0/0            0/0            0/0            0/2            0/0            0/1            1/2            0/1            0/0            0/1            0/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/4            3/13           5/85           
UP000236616    1/1            0/0            2/2            0/0            0/0            0/1            0/0            0/0            0/1            1/1            1/2            0/0            0/0            0/1            0/0            0/0            0/2            0/0            0/0            0/0            2/2            2/5            3/16           1/53           
UP000298677    2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            1/1            1/3            0/13           
UP000190174    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/11           5/102          
UP000187059    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/3            0/0            0/1            0/4            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            6/21           22/170         
UP000077845    1/2            0/0            1/1            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            3/21           6/97           
UP000092698    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/1            0/0            1/1            2/3            3/12           3/45           
UP000198564    0/1            0/0            3/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/0            0/1            0/1            0/0            0/0            0/0            2/2            1/8            3/7            6/86           
UP000002029    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/3            0/6            0/0            0/0            0/2            0/2            0/0            0/0            1/1            3/5            8/40           22/260         
UP000185978    1/1            0/0            2/2            1/1            0/0            0/1            0/1            0/0            0/0            0/0            2/3            0/0            0/2            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            2/16           4/53           
UP000010385    1/1            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/1            0/0            1/3            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            3/8            4/12           8/96           
UP000284202    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/3            0/0            0/1            0/2            0/1            0/0            0/0            0/0            0/0            0/1            2/2            1/5            2/20           17/187         
UP000183788    1/2            0/0            2/3            1/1            0/0            0/0            0/1            0/0            0/1            1/1            3/4            0/2            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            4/28           2/112          
UP000190286    0/0            0/1            1/2            0/1            0/0            0/0            0/1            0/0            0/0            1/2            0/2            0/0            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            1/2            2/4            3/16           5/108          
UP000242861    2/3            0/0            0/0            1/1            1/1            0/1            0/1            0/0            0/0            1/1            1/1            0/1            0/1            0/2            0/0            0/0            1/2            0/0            0/1            0/0            0/0            2/7            3/14           4/78           
UP000017746    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/2            0/0            0/7            0/0            0/1            0/2            0/0            0/0            0/0            1/1            4/4            4/23           25/245         
UP000235116    2/3            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/2            0/0            0/0            0/2            0/0            0/0            0/1            2/3            2/7            3/15           4/87           
UP000226437    2/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/1            0/0            0/2            0/1            0/1            0/0            0/3            0/0            0/0            0/0            0/0            2/6            3/17           1/55           
UP000315901    2/3            0/0            2/2            2/2            0/0            0/1            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/0            0/1            0/0            0/1            0/0            2/2            2/4            3/13           9/106          
UP000291962    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/2            4/20           8/113          
UP000189057    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            8/12           1/8            5/85           
UP000002217    0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/1            2/2            0/2            0/0            0/2            0/0            0/0            0/1            0/1            0/0            0/1            0/1            0/0            2/5            4/16           4/128          
UP000002631    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            1/1            1/1            2/32           
UP000298636    2/3            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/0            0/1            1/1            0/0            0/0            0/0            0/0            1/1            1/3            0/11           
UP000267043    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/3            1/9            4/50           
UP000008495    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/1            0/0            1/1            2/3            0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/1            3/15           7/129          
UP000077469    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/2            1/2            1/1            0/0            0/0            0/1            0/0            0/0            0/1            0/1            0/0            0/1            0/0            2/5            2/11           9/119          
UP000190890    0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/1            1/2            0/0            0/0            0/1            0/1            0/0            0/1            0/1            0/0            0/0            0/1            0/1            1/3            5/32           7/182          
UP000243887    1/1            0/0            2/3            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/1            0/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            2/15           3/64           
UP000182744    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            1/7            10/88          
UP000244925    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/2            1/10           1/59           
UP000028875    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/2            0/0            0/1            0/1            0/2            0/0            0/1            0/0            0/0            0/0            2/2            1/6            4/22           7/121          
UP000054698    2/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            2/2            2/2            0/0            0/0            0/0            0/0            0/0            0/4            0/0            0/1            0/1            2/2            1/4            3/12           4/66           
UP000001977    2/2            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            1/1            1/2            0/1            0/0            0/1            0/0            0/0            1/2            0/0            0/0            0/1            0/0            3/5            1/18           19/113         
UP000029846    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/2            0/1            0/0            0/1            0/1            0/0            0/0            2/2            1/5            3/17           11/112         
UP000198846    1/1            0/0            2/2            1/1            0/1            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/3            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            3/17           2/64           
UP000000492    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/3            2/13           4/82           
UP000294513    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/1            0/0            1/1            2/3            0/0            0/1            0/3            0/0            0/1            0/2            0/0            0/1            0/0            1/1            5/7            7/42           17/245         
UP000005440    1/1            0/0            2/2            0/2            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/0            0/4            0/0            0/0            0/0            0/0            0/0            0/0            1/1            4/10           7/28           13/195         
UP000320239    1/1            0/0            2/2            0/2            0/0            0/0            0/2            0/0            0/0            1/1            2/5            0/0            0/1            0/4            0/0            0/0            0/2            0/0            0/0            0/0            1/1            2/5            7/23           10/168         
UP000001959    2/2            0/0            2/2            1/1            0/0            0/2            0/0            0/0            0/0            0/1            1/3            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            3/20           2/60           
UP000236571    1/1            0/0            2/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            4/4            0/0            0/1            0/0            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/4            3/13           1/46           
UP000185721    1/1            0/0            2/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/4            0/0            0/1            0/6            0/0            0/0            0/2            0/1            0/0            0/0            1/1            2/5            6/32           24/178         
UP000245938    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/4            0/0            0/1            0/0            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/5            4/17           9/135          
UP000254808    2/2            0/0            2/2            0/0            0/0            0/1            0/1            0/0            0/0            1/3            1/1            0/0            0/1            0/0            0/1            0/1            0/0            0/0            0/0            0/0            2/2            1/4            4/18           3/72           
UP000029512    1/5            0/0            4/4            0/0            0/0            0/0            0/0            0/0            0/1            1/1            1/2            0/0            0/2            0/2            0/1            0/0            0/0            0/0            0/1            0/0            4/5            1/3            5/25           18/217         
UP000282654    0/1            0/1            1/1            0/0            0/0            0/0            0/1            0/0            0/0            1/1            0/1            0/0            0/1            0/2            0/0            0/0            0/2            0/1            0/0            0/0            0/0            2/4            2/11           4/59           
UP000199227    0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            2/2            0/0            1/2            0/0            0/0            0/0            0/3            0/0            0/0            0/0            0/0            1/4            2/10           3/70           
UP000194450    2/3            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/1            0/0            1/2            0/0            0/0            0/0            0/0            2/4            3/18           1/56           
UP000295632    1/4            0/1            2/2            0/1            0/0            0/0            0/1            0/0            0/0            1/1            2/3            0/0            0/1            0/0            0/2            0/0            0/0            0/0            0/1            0/0            2/3            1/4            5/20           11/146         
UP000051555    2/2            0/0            2/2            1/1            0/0            0/3            0/0            0/0            0/0            0/1            3/4            0/0            0/1            0/2            0/1            0/0            0/1            0/1            0/0            0/0            2/2            3/5            4/33           30/266         
UP000006380    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            1/2            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/2            2/15           1/52           
UP000019658    0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/3            1/7            6/86           
